704613776	20171008	201710	2017	2017.7616	SYR	SYRIA	SYR								USA	THE US	USA								0	057	057	05	1	8.0	2	1	2	2.11480362537764	1	Syria	SY	SY		35	38	SY	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Denmark	DA	DA		56	10	DA	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613777	20171008	201710	2017	2017.7616	SYR	SYRIA	SYR								USA	THE US	USA								0	057	057	05	1	8.0	6	1	6	2.11480362537764	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Denmark	DA	DA		56	10	DA	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613778	20171008	201710	2017	2017.7616	THA	THAILAND	THA																		1	020	020	02	1	3.0	5	1	5	-1.89274447949526	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	0								4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20171107111500	http://www.india.com/news/agencies/thailand-to-require-fingerprints-face-scans-for-sim-cards-2609486/
704613779	20171008	201710	2017	2017.7616	USA	THE US	USA								SYR	SYRIA	SYR								0	057	057	05	1	8.0	2	1	2	2.11480362537764	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	Syria	SY	SY		35	38	SY	1	Denmark	DA	DA		56	10	DA	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613780	20171008	201710	2017	2017.7616	USA	THE US	USA								SYR	SYRIA	SYR								0	057	057	05	1	8.0	2	1	2	2.11480362537764	1	Nicaragua	NU	NU		13	-85	NU	1	Nicaragua	NU	NU		13	-85	NU	1	Syria	SY	SY		35	38	SY	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613781	20171008	201710	2017	2017.7616	USA	THE US	USA								SYR	SYRIA	SYR								0	057	057	05	1	8.0	6	1	6	2.11480362537764	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	1	Denmark	DA	DA		56	10	DA	20171107111500	http://cphpost.dk/news/denmark-bracing-itself-for-cop23-action-in-bonn.html
704613782	20171031	201710	2017	2017.8247											IDN	BALI	IDN								1	042	042	04	1	1.9	6	1	6	-4.73186119873817	0								4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20171107111500	http://kickerdaily.com/posts/2017/11/qatar-airways-forced-to-divert-flight-after-female-passenger-discovers-husbands-infidelity-in-midair/
704613783	20171031	201710	2017	2017.8247	COP	POLICE						COP			SYRCVL	SYRIA	SYR					CVL			1	173	173	17	4	-5.0	2	1	2	-9.47867298578199	1	Israel	IS	IS		31.5	34.75	IS	4	Majdal Shams, Al Qunaytirah, Syria	SY	SY03	26312	33.27	35.7697	-2544494	1	Israel	IS	IS		31.5	34.75	IS	20171107111500	http://www.israelnationalnews.com/News/News.aspx/237753
704613784	20171031	201710	2017	2017.8247	COP	POLICE						COP			dru	DRUZE			dru						1	173	173	17	4	-5.0	2	1	2	-9.47867298578199	4	Majdal Shams, Al Qunaytirah, Syria	SY	SY03	26312	33.27	35.7697	-2544494	4	Majdal Shams, Al Qunaytirah, Syria	SY	SY03	26312	33.27	35.7697	-2544494	4	Majdal Shams, Al Qunaytirah, Syria	SY	SY03	26312	33.27	35.7697	-2544494	20171107111500	http://www.israelnationalnews.com/News/News.aspx/237753
704613785	20171031	201710	2017	2017.8247	COP	POLICE						COP			druCVL	DRUZE			dru			CVL			1	173	173	17	4	-5.0	6	1	6	-9.47867298578199	4	Majdal Shams, Al Qunaytirah, Syria	SY	SY03	26312	33.27	35.7697	-2544494	4	Majdal Shams, Al Qunaytirah, Syria	SY	SY03	26312	33.27	35.7697	-2544494	4	Majdal Shams, Al Qunaytirah, Syria	SY	SY03	26312	33.27	35.7697	-2544494	20171107111500	http://www.israelnationalnews.com/News/News.aspx/237753
704613786	20171031	201710	2017	2017.8247	GBR	UNITED KINGDOM	GBR								LEG	LAWMAKER						LEG			1	013	013	01	1	0.4	3	3	3	-5.16800065006297	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107111500	http://www.lmtonline.com/news/crime/article/Family-of-woman-detained-in-Iran-demands-action-12337417.php
704613787	20171031	201710	2017	2017.8247	GBRGOV	UNITED KINGDOM	GBR					GOV			LEG	LAWMAKER						LEG			1	013	013	01	1	0.4	5	4	5	-5.25648901279228	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107111500	http://www.dailymail.co.uk/wires/ap/article-5057723/Family-woman-detained-Iran-demands-action-UK.html
704613788	20171031	201710	2017	2017.8247	GOV	GOVERNMENT						GOV													0	0353	035	03	1	7.0	10	1	10	0.94161958568738	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	0								4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20171107111500	http://www.express.co.uk/news/uk/876472/brexit-trade-bill-blueprint-for-uk-independent-deals-liam-fox-theresa-may
704613789	20171031	201710	2017	2017.8247	GOV	GOVERNMENT						GOV													0	084	084	08	2	7.0	10	1	10	0.94161958568738	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	0								4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20171107111500	http://www.express.co.uk/news/uk/876472/brexit-trade-bill-blueprint-for-uk-independent-deals-liam-fox-theresa-may
704613790	20171031	201710	2017	2017.8247	GOV	FOREIGN SECRETARY						GOV			IRN	IRAN	IRN								1	010	010	01	1	0.0	2	1	2	-6.0952380952381	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107111500	https://news.sky.com/story/nazanin-zaghari-ratcliffe-fox-says-boris-johnson-blunder-not-serious-11117116
704613791	20171031	201710	2017	2017.8247	GOV	FOREIGN SECRETARY						GOV			IRN	IRAN	IRN								1	010	010	01	1	0.0	2	1	2	-6.0952380952381	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107111500	https://news.sky.com/story/nazanin-zaghari-ratcliffe-fox-says-boris-johnson-blunder-not-serious-11117116
704613792	20171031	201710	2017	2017.8247	IDN	BALI	IDN																		1	043	043	04	1	2.8	6	1	6	-4.73186119873817	4	Bali, Goa, India	IN	IN33	70123	15.1667	74.0333	-2089967	0								4	Bali, Goa, India	IN	IN33	70123	15.1667	74.0333	-2089967	20171107111500	http://kickerdaily.com/posts/2017/11/qatar-airways-forced-to-divert-flight-after-female-passenger-discovers-husbands-infidelity-in-midair/
704613793	20171031	201710	2017	2017.8247	IGOSEAASN	ASEAN	SEA	ASN				IGO			VNM	VIETNAM	VNM								1	036	036	03	1	4.0	2	1	2	1.58730158730159	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171107111500	http://globalnation.inquirer.net/161525/breaking-duterte-us-apec-vietnam-donald-trump-philippines-best-friend-asean-foreign-relations
704613794	20171031	201710	2017	2017.8247	IRN	IRAN	IRN								GBR	UNITED KINGDOM	GBR								1	010	010	01	1	0.0	2	1	2	-2.89855072463768	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107111500	http://www.arkansasonline.com/news/2017/nov/07/iranian-court-says-brits-words-indict/
704613795	20171031	201710	2017	2017.8247	IRN	IRAN	IRN								GBR	UNITED KINGDOM	GBR								1	010	010	01	1	0.0	2	1	2	-2.89855072463768	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107111500	http://www.arkansasonline.com/news/2017/nov/07/iranian-court-says-brits-words-indict/
704613796	20171031	201710	2017	2017.8247	IRN	TEHRAN	IRN								GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	4	1	4	-2.89855072463768	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107111500	http://www.arkansasonline.com/news/2017/nov/07/iranian-court-says-brits-words-indict/
704613797	20171031	201710	2017	2017.8247	PHL	PHILIPPINE	PHL								VNM	VIETNAM	VNM								1	036	036	03	1	4.0	2	1	2	1.58730158730159	4	Taguig, City of Taguig, Philippines	RP	RPN6	24229	14.5243	121.079	-2455402	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171107111500	http://globalnation.inquirer.net/161525/breaking-duterte-us-apec-vietnam-donald-trump-philippines-best-friend-asean-foreign-relations
704613798	20171031	201710	2017	2017.8247	USA	UNITED STATES	USA								USALEG	UNITED STATES	USA					LEG			1	043	043	04	1	2.8	6	1	6	-6.66666666666667	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	20171107111500	https://www.seattletimes.com/nation-world/nation-politics/illinois-lawmakers-return-to-work-amid-sex-harassment-mess/
704613799	20171031	201710	2017	2017.8247	USA	UNITED STATES	USA								USALEG	UNITED STATES	USA					LEG			1	043	043	04	1	2.8	2	1	2	-6.66666666666667	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	2	Illinois, United States	US	USIL		40.3363	-89.0022	IL	20171107111500	https://www.seattletimes.com/nation-world/nation-politics/illinois-lawmakers-return-to-work-amid-sex-harassment-mess/
704613800	20171031	201710	2017	2017.8247	USALEG	UNITED STATES	USA					LEG			USA	UNITED STATES	USA								1	042	042	04	1	1.9	8	1	8	-6.66666666666667	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	20171107111500	https://www.seattletimes.com/nation-world/nation-politics/illinois-lawmakers-return-to-work-amid-sex-harassment-mess/
704613801	20171031	201710	2017	2017.8247	VNM	VIETNAM	VNM								IGOSEAASN	ASEAN	SEA	ASN				IGO			1	036	036	03	1	4.0	2	1	2	1.58730158730159	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171107111500	http://globalnation.inquirer.net/161525/breaking-duterte-us-apec-vietnam-donald-trump-philippines-best-friend-asean-foreign-relations
704613802	20171031	201710	2017	2017.8247	VNM	VIETNAM	VNM								PHL	PHILIPPINE	PHL								1	036	036	03	1	4.0	2	1	2	1.58730158730159	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	4	Taguig, City of Taguig, Philippines	RP	RPN6	24229	14.5243	121.079	-2455402	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171107111500	http://globalnation.inquirer.net/161525/breaking-duterte-us-apec-vietnam-donald-trump-philippines-best-friend-asean-foreign-relations
704613803	20171106	201711	2017	2017.8384	EDU	UNIVERSITY						EDU			CVL	CITIZEN						CVL			1	010	010	01	1	0.0	2	1	2	-2.88184438040346	4	Bedfordshire, United Kingdom (general), United Kingdom	UK	UK00	40124	52	-0.5	-2589547	4	Bedfordshire, United Kingdom (general), United Kingdom	UK	UK00	40124	52	-0.5	-2589547	4	Bedfordshire, United Kingdom (general), United Kingdom	UK	UK00	40124	52	-0.5	-2589547	20171107111500	https://citizen.co.za/news/south-africa/1719264/mahlangu-suspended-by-global-banking-of-school/
704613804	20171106	201711	2017	2017.8384	EDU	UNIVERSITY						EDU			CVL	CITIZEN						CVL			1	010	010	01	1	0.0	2	1	2	-2.88184438040346	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Bedfordshire, United Kingdom (general), United Kingdom	UK	UK00	40124	52	-0.5	-2589547	4	Bedfordshire, United Kingdom (general), United Kingdom	UK	UK00	40124	52	-0.5	-2589547	20171107111500	https://citizen.co.za/news/south-africa/1719264/mahlangu-suspended-by-global-banking-of-school/
704613805	20171106	201711	2017	2017.8384	EDU	UNIVERSITY						EDU			CVL	CITIZEN						CVL			1	010	010	01	1	0.0	6	1	6	-2.88184438040346	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107111500	https://citizen.co.za/news/south-africa/1719264/mahlangu-suspended-by-global-banking-of-school/
704613806	20171106	201711	2017	2017.8384	FRA	FRENCH	FRA								COP	POLICE						COP			1	020	020	02	1	3.0	7	1	7	0	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171107111500	http://www.lithgowmercury.com.au/story/5041536/police-renew-appeal-to-locate-missing-french-tourist-last-seen-in-katoomba/
704613807	20171106	201711	2017	2017.8384	IRL	IRELAND	IRL																		1	141	141	14	3	-6.5	8	1	8	-2.95566502463054	4	Westport, Mayo, Ireland	EI	EI20	18298	53.8	-9.51667	-1506170	0								4	Westport, Mayo, Ireland	EI	EI20	18298	53.8	-9.51667	-1506170	20171107111500	http://www.midwestradio.ie/index.php/news/42790-community-protest-over-water-supply-at-yesterday-s-west-mayo-municipal-meeting
704613808	20171106	201711	2017	2017.8384	JPN	JAPANESE	JPN								JPNELIGOV	SHINZO ABE	JPN					ELI	GOV		1	040	040	04	1	1.0	2	1	2	-3.41880341880342	4	Akasaka, Aichi, Japan	JA	JA01	33433	34.85	137.3	-225226	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171107111500	https://www.newkerala.com/news/fullnews-286208.html
704613809	20171106	201711	2017	2017.8384	JPNELIGOV	SHINZO ABE	JPN					ELI	GOV		JPN	JAPANESE	JPN								1	040	040	04	1	1.0	2	1	2	-3.41880341880342	1	United States	US	US		39.828175	-98.5795	US	4	Akasaka, Aichi, Japan	JA	JA01	33433	34.85	137.3	-225226	1	United States	US	US		39.828175	-98.5795	US	20171107111500	https://www.newkerala.com/news/fullnews-286208.html
704613810	20171106	201711	2017	2017.8384	PRK	NORTH KOREA	PRK								LEG	LAWMAKER						LEG			0	020	020	02	1	3.0	4	1	4	0.50632911392405	1	United States	US	US		39.828175	-98.5795	US	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20171107111500	https://qz.com/1122232/trump-is-using-north-korea-to-push-japan-south-korea-and-congress-to-buy-more-pricey-us-weapons/
704613811	20171107	201711	2017	2017.8411											AFGGOV	AFGHAN	AFG					GOV			1	0214	021	02	1	3.4	6	1	6	-5.83941605839417	0								4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	20171107111500	http://www.khaama.com/killing-of-diplomat-could-have-implications-on-pak-afghan-ties-zardari-03794
704613812	20171107	201711	2017	2017.8411											AFGGOV	AFGHAN	AFG					GOV			1	090	090	09	2	-2.0	6	1	6	-5.83941605839417	0								4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	4	Jalalabad, Nangarhar, Afghanistan	AF	AF18	99928	34.4265	70.4515	-3377673	20171107111500	http://www.khaama.com/killing-of-diplomat-could-have-implications-on-pak-afghan-ties-zardari-03794
704613813	20171107	201711	2017	2017.8411											AFR	AFRICA	AFR								0	043	043	04	1	2.8	4	1	4	3.2258064516129	0								4	Port Elizabeth, Eastern Cape, South Africa	SF	SF05	77317	-33.918	25.5701	-1273448	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20171107111500	http://www.comunicati.net/comunicati/aziende/moda/458552.html
704613814	20171107	201711	2017	2017.8411											ARE	ABU DHABI	ARE								0	042	042	04	1	1.9	10	1	10	1.50537634408602	0								4	Surah, Saudi Arabia (general), Saudi Arabia	SA	SA00	25312	19.3833	41.8667	-3099795	4	Surah, Saudi Arabia (general), Saudi Arabia	SA	SA00	25312	19.3833	41.8667	-3099795	20171107111500	http://uk.reuters.com/article/us-emirates-louvre/east-meets-west-as-louvre-abu-dhabi-opens-in-the-gulf-idUKKBN1D719F
